Artist,Title,id,energy,key,acousticness,instrumentalness,liveness,tempo,type,uri,track_href,analysis_url,duration_ms
Olivia Rodrigo,Vampire,4sSKTQcX6pQIncWcNJdkiD,0.609,1,0.284,0.268,0.112,119.973,audio_features,spotify:track:4sSKTQcX6pQIncWcNJdkiD,https://api.spotify.com/v1/tracks/4sSKTQcX6pQIncWcNJdkiD,https://api.spotify.com/v1/audio-analysis/4sSKTQcX6pQIncWcNJdkiD,300000
Morgan Wallen,Last Night,59uQI0PADDKeE6UZDTJEe8,0.675,6,0.459,0.0,0.151,203.853,audio_features,spotify:track:59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/tracks/59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/audio-analysis/59uQI0PADDKeE6UZDTJEe8,163855
Luke Combs,Fast Car,2M9ro2krNb7nr7HSprkEgo,0.292,4,0.313,0.0,0.131,103.951,audio_features,spotify:track:2M9ro2krNb7nr7HSprkEgo,https://api.spotify.com/v1/tracks/2M9ro2krNb7nr7HSprkEgo,https://api.spotify.com/v1/audio-analysis/2M9ro2krNb7nr7HSprkEgo,296800
Rema & Selena Gomez,Calm Down,0WtM2NBVQNNJLh6scP13H8,0.806,11,0.382,0.000669,0.114,106.999,audio_features,spotify:track:0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/tracks/0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/audio-analysis/0WtM2NBVQNNJLh6scP13H8,239318
Miley Cyrus,Flowers,4DHcnVTT87F0zZhRPYmZ3B,0.681,0,0.0632,5.15e-06,0.0322,117.999,audio_features,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,https://api.spotify.com/v1/tracks/4DHcnVTT87F0zZhRPYmZ3B,https://api.spotify.com/v1/audio-analysis/4DHcnVTT87F0zZhRPYmZ3B,200455
Lil Durk Featuring J. Cole,All My Life,6HgWWaMu31KdOpEG5l28BG,0.436,3,0.15,0.0,0.0954,143.031,audio_features,spotify:track:6HgWWaMu31KdOpEG5l28BG,https://api.spotify.com/v1/tracks/6HgWWaMu31KdOpEG5l28BG,https://api.spotify.com/v1/audio-analysis/6HgWWaMu31KdOpEG5l28BG,223204
Taylor Swift,Cruel Summer,2EGaDf0cPX789H3LNeB03D,0.871,1,0.27,0.0208,0.263,108.501,audio_features,spotify:track:2EGaDf0cPX789H3LNeB03D,https://api.spotify.com/v1/tracks/2EGaDf0cPX789H3LNeB03D,https://api.spotify.com/v1/audio-analysis/2EGaDf0cPX789H3LNeB03D,215326
Gunna,Fukumean,4rXLjWdF2ZZpXCVTfWcshS,0.622,1,0.119,0.0,0.285,130.001,audio_features,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/tracks/4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/audio-analysis/4rXLjWdF2ZZpXCVTfWcshS,125040
Taylor Swift Featuring Ice Spice,Karma,0ZxhtATQ0a6EvQNZ0z6NKV,0.676,9,0.14,0.0,0.101,147.991,audio_features,spotify:track:0ZxhtATQ0a6EvQNZ0z6NKV,https://api.spotify.com/v1/tracks/0ZxhtATQ0a6EvQNZ0z6NKV,https://api.spotify.com/v1/audio-analysis/0ZxhtATQ0a6EvQNZ0z6NKV,172125
Toosii,Favorite Song,1SRw5p2lVAi7RGlHEmZg66,0.367,2,0.314,0.0,0.0987,116.035,audio_features,spotify:track:1SRw5p2lVAi7RGlHEmZg66,https://api.spotify.com/v1/tracks/1SRw5p2lVAi7RGlHEmZg66,https://api.spotify.com/v1/audio-analysis/1SRw5p2lVAi7RGlHEmZg66,208630
Lil Uzi Vert,Flooded The Face,4daEMLSZCgZ2Mt7gNm2SRa,0.609,1,0.492,2.47e-06,0.152,131.889,audio_features,spotify:track:4daEMLSZCgZ2Mt7gNm2SRa,https://api.spotify.com/v1/tracks/4daEMLSZCgZ2Mt7gNm2SRa,https://api.spotify.com/v1/audio-analysis/4daEMLSZCgZ2Mt7gNm2SRa,192727
